"Store", "Winkel"
"Stores", "Winkels"
"Search for a shop", "Zoek een winkel"
"Search", "Zoeken"
"Shop search", "Zoek winkel"
"Timetable", "Openingstijden"
"Open during evening", "Koopavonden",
"Stores nearby", "Winkels in de buurt",
"Stores nearby you", "Vestingingen bij jou in de buurt",
"Open on Sunday", "Koopzondag"
"Extra-openings", "Speciale openingstijden"
"Extra Openings", "Koopzondagen en extra koopavonden"
"Show opening times and route", "Bekijk de openingstijden en routebeschrijving"
"Directions", "Routebeschrijving"
"Show route", "Toon route"
"City or zip", "Je postcode"
Sunday, Zondag
Monday, Maandag
Tuesday, Dinsdag
Wednesday, Woensdag
Thursday, Donderdag
Friday, Vrijdag
Saturday, Zaterdag
January, januari
February, februari
March, maart
April, april
May, mei
June, juni
July, juli
August, augustus
September, september
October, oktober
November, november
December, december
"Show only stores that are currently open.","Toon alleen winkels die nu open zijn."
"Or view all stores.","Of bekijk alle winkels."
"View all stores","bekijk alle winkels"
"Special activities","Speciale activiteiten"
"All upcoming extra-openings","Bekijk alle komende koopzondagen"
"Search on zip or city", "Vul een postcode of plaats in"
"Store manager", "Shopmanager"
"Store Description", "Speciale activiteiten"
"Closed on", "Gesloten op"
"Ascending", "Oplopend"
"Descending", "Aflopend"
